id;created;state;time_started;time_ended
1;2021-04-11T07:46:27;FINISHED;2021-04-11T14:39:54;2021-04-11T05:13:17
2;2021-04-10T21:17:27;BEINGTREATED;2021-04-11T01:08:18;2021-04-11T11:25:59
3;2021-04-10T22:26:31;CANCELLED;2021-04-11T04:11:43;2021-04-11T00:02:21
4;2021-04-10T19:08:46;BEINGTREATED;2021-04-11T09:25:40;2021-04-11T04:46:49
5;2021-04-10T20:57:33;CANCELLED;2021-04-11T13:05:16;2021-04-10T21:09:14
6;2021-04-10T19:01:01;FINISHED;2021-04-11T04:11:34;2021-04-10T22:30:03
7;2021-04-11T08:08:23;CANCELLED;2021-04-11T13:08:48;2021-04-11T02:22:16
8;2021-04-11T00:47:00;CANCELLED;2021-04-11T12:00:19;2021-04-11T08:24:22
9;2021-04-11T16:17:55;FINISHED;2021-04-11T05:25:04;2021-04-11T13:05:11
10;2021-04-11T05:02:29;BEINGTREATED;2021-04-10T23:05:01;2021-04-11T06:49:11
