id;cooperative_name;cooperative_city;cooperative_address
1;Unbranded directional;microchip;Nepalese
2;proactive Practical;Personal gold;Wisconsin help-desk port
3;array front-end;Avon Account;integrated multi-state
4;unleash;attitude redefine;application Manager monetize
5;SAS;Factors;neural
6;Virginia Buckinghamshire User-;Checking;Car Shore
7;Palau payment Corporate;Intelligent;synergize Czech
8;Program Naira Islands;Accountability;Intelligent Investment
9;USB;Tokelau Massachusetts;Steel
10;e-business;Loan Sleek Summit;bluetooth
