id;product_name;description;product_price;image;image_content_type
1;conglomeration Table driver;../fake-data/blob/hipster.txt;Assimilated compress Cambridgeshire;../fake-data/blob/hipster.png;image/png
2;XSS logistical Movies;../fake-data/blob/hipster.txt;online auxiliary;../fake-data/blob/hipster.png;image/png
3;District GB;../fake-data/blob/hipster.txt;Enterprise-wide morph;../fake-data/blob/hipster.png;image/png
4;calculate China;../fake-data/blob/hipster.txt;Sausages Table;../fake-data/blob/hipster.png;image/png
5;navigate back Cheese;../fake-data/blob/hipster.txt;deposit Land emulation;../fake-data/blob/hipster.png;image/png
6;Account Buckinghamshire;../fake-data/blob/hipster.txt;Fresh B2C Beauty;../fake-data/blob/hipster.png;image/png
7;clear-thinking;../fake-data/blob/hipster.txt;bypass;../fake-data/blob/hipster.png;image/png
8;violet Sausages;../fake-data/blob/hipster.txt;24/365 HDD;../fake-data/blob/hipster.png;image/png
9;Shirt orange;../fake-data/blob/hipster.txt;transmitting;../fake-data/blob/hipster.png;image/png
10;Outdoors turquoise back-end;../fake-data/blob/hipster.txt;Frozen Movies;../fake-data/blob/hipster.png;image/png
