id;restaurant_name;delivery_price;restaurant_address;restaurant_city
1;initiative;Riel projection Rubber;Tunisian connect embrace;heuristic payment
2;Compatible Avon revolutionize;Account Mouse Web;SMTP Computer e-commerce;Republic
3;Vision-oriented productize;Optimization;Planner;transmit Global transitional
4;grey deposit deposit;synthesizing white integrated;Arizona revolutionize South;Avon architectures compress
5;Cedi leverage Plastic;Credit;connect;transmitting Global
6;maroon Euro;Human RAM;Shoes;Producer payment
7;system;Account Cook deposit;Lebanon Buckinghamshire;silver
8;haptic;synergies invoice open-source;Armenia Meadows recontextualize;Bedfordshire plug-and-play
9;bluetooth (E.M.U.-6);Spur Refined integrate;Sleek Advanced;Kids functionalities
10;back-end Forks;Oklahoma;Manager technologies;parallelism Haven
